Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_347:0000173,PRLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000171,Primary raceme length,Morphological,The length of primary raceme.,,PRLng,,Primary raceme,length,,,CO_347:0000172,Primary raceme length - Measurement,Measurement,Measure primary raceme length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000176,PRMFlwCovLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000174,Primary raceme male flower covered length,Morphological,The length of primary raceme covered with male flowers.,,PRMFlwCovLng,,Primary raceme,male flower covered length,,,CO_347:0000175,Primary raceme male flower covered length - Measurement,Measurement,Measure length of primary raceme covered with male flowers and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000180,RCompact_E_1to9,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000177,Raceme compactness,Morphological,The capsules arrangment on the raceme.,Raceme capsule arrangement,RCompact,,Raceme,compactness,,,CO_347:0000178,Raceme compactness - Estimation,Estimation,Observe racemes compactness and rate it.,,,CO_347:0000179,1-9 Compactness scale,Ordinal,,,,,1= extremely loose,2= very loose,3= loose,4= loose to semi-compact,5= semi-compact,6= semi-compact to compact,7= compact,8= very compact,9= extremely compact,
,CO_347:0000184,RShp_E_1to3,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000181,Raceme shape,Morphological,The shape of the raceme.,,RShp,,Raceme,shape,,,CO_347:0000182,Raceme shape - Estimation,Estimation,Observe racemes shape and rate it.,,,CO_347:0000183,1-3 Raceme shape scale,Nominal,,,,,1= umbrella,2= cylindrical,3= conical,,,,,,,
,CO_347:0000187,SBLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000185,Secondary branch length,Morphological,The length of secondary branch.,,SBLng,,Secondary branch,length,,,CO_347:0000186,Secondary branch length - Measurement,Measurement,Measure secondary branch length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000191,SBN_Ct_brnch,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000188,Secondary branch number,Morphological,The number of secondary branches.,,SBN,,Secondary branch,number,,,CO_347:0000189,Secondary branch number - Counting,Counting,"Count secondary branches in a sampling unit (plot, plant, etc).",,,CO_347:0000190,branch,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000194,PFW_M_g,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000192,Plant fresh weight,Agronomic,The plant fresh weight.,,PFW,,Plant,fresh weight,,,CO_347:0000193,Plant FW - Measurement,Measurement,Measure plant fresh weight and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000197,PDW_M_g,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000195,Plant dry weight,Agronomic,The plant dry weight.,,PDW,,Plant,dry weight,,,CO_347:0000196,Plant DW - Measurement,Measurement,Measure plant dry weight and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000200,SRLng_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000198,Secondary raceme length,Morphological,The length of secondary raceme.,,SRLng,,Secondary raceme,length,,,CO_347:0000199,Secondary raceme length - Measurement,Measurement,Measure secondary raceme length and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
,CO_347:0000204,SdCol_E_1to5,,Trial evaluation,Post-Harvest,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000201,Seed color,Morphological,The color of seeds.,,SdCol,,Seed,color,,,CO_347:0000202,Seed color - Estimation,Estimation,Observe seeds color and rate it.,,,CO_347:0000203,1-5 Seed color scale,Nominal,,,,,1= White,2= Maroon,3= Brown,4= Dark chocolate,5= Black,,,,,
,CO_347:0000207,SdLng_M_mm,,Trial evaluation,Post-Harvest,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000205,Seed length,Morphological,The length of seeds.,,SdLng,,Seed,length,,,CO_347:0000206,Seed length - Measurement,Measurement,Measure seeds width and record it.,,,CO_347:0000015,mm,Numerical,,0,30,,,,,,,,,,,
,CO_347:0000211,SdShp_E_1to3,,Trial evaluation,Post-Harvest,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000208,Seed shape,Morphological,The shape of seeds.,,SdShp,,Seed,shape,,,CO_347:0000209,Seed shape - Estimation,Estimation,Observe seeds shape and rate it.,,,CO_347:0000210,1-3 Seed shape scale,Nominal,,,,,1= elongated,2= oval,3= square,,,,,,,
